"","Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"47",2007-02-01,46M 0S,0.318,0.118,241.32,1.4,0,0,0
"48",2007-02-01,47M 0S,0.316,0.116,240.93,1.4,0,0,0
"49",2007-02-01,48M 0S,0.316,0.116,240.93,1.4,0,0,0
"50",2007-02-01,49M 0S,0.274,0.058,240.36,1.2,0,0,0
"51",2007-02-01,50M 0S,0.222,0,240.93,1,0,0,0
"52",2007-02-01,51M 0S,0.222,0,240.83,1,0,0,0
"53",2007-02-01,52M 0S,0.222,0,240.52,1,0,0,0
"54",2007-02-01,53M 0S,0.224,0,241.45,1,0,0,0
"55",2007-02-01,54M 0S,0.224,0,241.59,1,0,0,0
"56",2007-02-01,55M 0S,0.226,0,242.55,1,0,0,0
"57",2007-02-01,56M 0S,0.226,0,242.88,1,0,0,0
"58",2007-02-01,57M 0S,0.226,0,242.63,1,0,0,0
"59",2007-02-01,58M 0S,0.224,0,242.2,1,0,0,0
"60",2007-02-01,59M 0S,0.224,0,241.84,1,0,0,0
"61",2007-02-01,1H 0M 0S,0.222,0,240.89,1,0,0,0
"62",2007-02-01,1H 1M 0S,0.222,0,240.86,1,0,0,0
"63",2007-02-01,1H 2M 0S,0.26,0,240.64,1.2,0,0,0
"64",2007-02-01,1H 3M 0S,0.298,0.088,240.72,1.2,0,0,0
"65",2007-02-01,1H 4M 0S,0.302,0.094,242.18,1.2,0,0,0
"66",2007-02-01,1H 5M 0S,0.302,0.096,242.66,1.2,0,0,0
"67",2007-02-01,1H 6M 0S,0.302,0.096,242.77,1.2,0,0,0
"68",2007-02-01,1H 7M 0S,0.3,0.096,242.6,1.2,0,0,0
"69",2007-02-01,1H 8M 0S,0.298,0.094,242.38,1.2,0,0,0
"70",2007-02-01,1H 9M 0S,0.298,0.094,242.21,1.2,0,0,0
"71",2007-02-01,1H 10M 0S,0.296,0.096,242.61,1.2,0,0,0
"72",2007-02-01,1H 11M 0S,0.296,0.094,242.24,1.2,0,0,0
"73",2007-02-01,1H 12M 0S,0.258,0,242.66,1,0,0,0
"74",2007-02-01,1H 13M 0S,0.226,0,242.99,1,0,0,0
"75",2007-02-01,1H 14M 0S,0.228,0,243.53,1,0,0,0
"76",2007-02-01,1H 15M 0S,0.316,0.088,243.12,1.4,0,0,0
"77",2007-02-01,1H 16M 0S,0.434,0.252,242.83,2.2,0,0,0
"78",2007-02-01,1H 17M 0S,0.418,0.254,243.08,2,0,2,0
"79",2007-02-01,1H 18M 0S,0.414,0.254,243.35,2,0,1,0
"80",2007-02-01,1H 19M 0S,0.412,0.252,242.71,2,0,1,0
"81",2007-02-01,1H 20M 0S,0.41,0.246,241.63,2,0,2,0
"82",2007-02-01,1H 21M 0S,0.408,0.246,241.86,2,0,1,0
"83",2007-02-01,1H 22M 0S,0.408,0.248,242.17,2,0,2,0
"84",2007-02-01,1H 23M 0S,0.404,0.244,241.7,2,0,1,0
"85",2007-02-01,1H 24M 0S,0.402,0.242,241.14,1.8,0,1,0
"86",2007-02-01,1H 25M 0S,0.402,0.244,241.41,1.8,0,2,0
"87",2007-02-01,1H 26M 0S,0.402,0.246,241.95,1.8,0,1,0
"88",2007-02-01,1H 27M 0S,0.402,0.248,242.36,1.8,0,2,0
"89",2007-02-01,1H 28M 0S,0.402,0.25,242.6,1.8,0,1,0
"90",2007-02-01,1H 29M 0S,0.398,0.246,242.11,1.8,0,1,0
"91",2007-02-01,1H 30M 0S,0.336,0.156,241.88,1.6,0,2,0
"92",2007-02-01,1H 31M 0S,0.3,0.104,240.78,1.2,0,1,0
"93",2007-02-01,1H 32M 0S,0.3,0.104,240.68,1.2,0,1,0
"94",2007-02-01,1H 33M 0S,0.3,0.106,240.87,1.2,0,2,0
"95",2007-02-01,1H 34M 0S,0.298,0.106,241,1.2,0,1,0
"96",2007-02-01,1H 35M 0S,0.298,0.106,240.97,1.2,0,1,0
"97",2007-02-01,1H 36M 0S,0.298,0.106,241.09,1.2,0,1,0
"98",2007-02-01,1H 37M 0S,0.298,0.106,241.1,1.2,0,2,0
"99",2007-02-01,1H 38M 0S,0.298,0.106,241.21,1.2,0,1,0
"100",2007-02-01,1H 39M 0S,0.296,0.106,241.27,1.2,0,1,0
"101",2007-02-01,1H 40M 0S,0.296,0.108,241.4,1.2,0,1,0
"102",2007-02-01,1H 41M 0S,0.296,0.108,241.61,1.2,0,1,0
"103",2007-02-01,1H 42M 0S,0.296,0.106,241.37,1.2,0,2,0
"104",2007-02-01,1H 43M 0S,0.294,0.106,240.99,1.2,0,1,0
"105",2007-02-01,1H 44M 0S,0.294,0.106,241.27,1.2,0,1,0
"106",2007-02-01,1H 45M 0S,0.242,0,241.26,1,0,0,0
"107",2007-02-01,1H 46M 0S,0.224,0,241.76,1,0,0,0
"108",2007-02-01,1H 47M 0S,0.224,0,242.38,1,0,0,0
"109",2007-02-01,1H 48M 0S,0.224,0,242.15,1,0,0,0
"110",2007-02-01,1H 49M 0S,0.288,0.05,241.69,1.4,0,0,0
"111",2007-02-01,1H 50M 0S,0.298,0.088,241.02,1.2,0,0,0
"112",2007-02-01,1H 51M 0S,0.298,0.088,240.75,1.2,0,0,0
"113",2007-02-01,1H 52M 0S,0.298,0.088,241.06,1.2,0,0,0
"114",2007-02-01,1H 53M 0S,0.3,0.09,241.57,1.2,0,0,0
"115",2007-02-01,1H 54M 0S,0.3,0.094,242.29,1.2,0,0,0
"116",2007-02-01,1H 55M 0S,0.3,0.096,242.77,1.2,0,0,0
"117",2007-02-01,1H 56M 0S,0.386,0.19,242.48,1.8,0,0,0
"118",2007-02-01,1H 57M 0S,0.406,0.228,242.24,1.8,0,0,0
"119",2007-02-01,1H 58M 0S,0.398,0.222,242.11,1.8,0,0,0
"120",2007-02-01,1H 59M 0S,0.326,0.116,240.55,1.4,0,0,0
"121",2007-02-01,2H 0M 0S,0.324,0.116,240.33,1.4,0,0,0
"122",2007-02-01,2H 1M 0S,0.328,0.126,242.57,1.4,0,0,0
"123",2007-02-01,2H 2M 0S,0.328,0.13,243.12,1.4,0,0,0
"124",2007-02-01,2H 3M 0S,0.326,0.128,243.05,1.4,0,0,0
"125",2007-02-01,2H 4M 0S,0.324,0.128,243.09,1.4,0,0,0
"126",2007-02-01,2H 5M 0S,0.322,0.124,242.07,1.4,0,0,0
"127",2007-02-01,2H 6M 0S,0.322,0.124,242.21,1.4,0,0,0
"128",2007-02-01,2H 7M 0S,0.322,0.126,242.47,1.4,0,0,0
"129",2007-02-01,2H 8M 0S,0.322,0.126,242.57,1.4,0,0,0
"130",2007-02-01,2H 9M 0S,0.322,0.128,243.08,1.4,0,0,0
"131",2007-02-01,2H 10M 0S,0.322,0.13,243.28,1.4,0,0,0
"132",2007-02-01,2H 11M 0S,0.242,0,243.52,1,0,0,0
"133",2007-02-01,2H 12M 0S,0.228,0,244.09,1,0,0,0
"134",2007-02-01,2H 13M 0S,0.228,0,244.02,1,0,0,0
"135",2007-02-01,2H 14M 0S,0.228,0,244.02,1,0,0,0
"136",2007-02-01,2H 15M 0S,0.226,0,243.25,1,0,0,0
"137",2007-02-01,2H 16M 0S,0.226,0,243.06,1,0,0,0
"138",2007-02-01,2H 17M 0S,0.228,0,243.38,1,0,0,0
"139",2007-02-01,2H 18M 0S,0.228,0,243.91,1,0,0,0
"140",2007-02-01,2H 19M 0S,0.228,0,243.93,1,0,0,0
"141",2007-02-01,2H 20M 0S,0.228,0,243.55,1,0,0,0
"142",2007-02-01,2H 21M 0S,0.228,0,243.45,1,0,0,0
"143",2007-02-01,2H 22M 0S,0.226,0,242.42,1,0,0,0
"144",2007-02-01,2H 23M 0S,0.226,0,243.14,1,0,0,0
"145",2007-02-01,2H 24M 0S,0.228,0,243.37,1,0,0,0
"146",2007-02-01,2H 25M 0S,0.228,0,243.53,1,0,0,0
"147",2007-02-01,2H 26M 0S,0.226,0,243.22,1,0,0,0
"148",2007-02-01,2H 27M 0S,0.228,0,243.57,1,0,0,0
"149",2007-02-01,2H 28M 0S,0.228,0,243.76,1,0,0,0
"150",2007-02-01,2H 29M 0S,0.226,0,243.36,1,0,0,0
"151",2007-02-01,2H 30M 0S,0.226,0,243.17,1,0,0,0
"152",2007-02-01,2H 31M 0S,0.228,0,243.58,1,0,0,0
"153",2007-02-01,2H 32M 0S,0.228,0,244.1,1,0,0,0
"154",2007-02-01,2H 33M 0S,0.23,0,244.55,1,0,0,0
"155",2007-02-01,2H 34M 0S,0.23,0,244.98,1,0,0,0
"156",2007-02-01,2H 35M 0S,0.228,0,244.36,1,0,0,0
"157",2007-02-01,2H 36M 0S,0.292,0.06,244.42,1.4,0,0,0
"158",2007-02-01,2H 37M 0S,0.388,0.19,243.85,1.8,0,0,0
"159",2007-02-01,2H 38M 0S,0.416,0.238,243.83,2,0,0,0
"160",2007-02-01,2H 39M 0S,0.416,0.244,243.73,2,0,0,0
"161",2007-02-01,2H 40M 0S,0.436,0.276,244.66,2,0,0,0
"162",2007-02-01,2H 41M 0S,0.436,0.28,245.02,2,0,0,0
"163",2007-02-01,2H 42M 0S,0.432,0.28,245.06,2,0,0,0
"164",2007-02-01,2H 43M 0S,0.426,0.272,244.04,2,0,0,0
"165",2007-02-01,2H 44M 0S,0.424,0.27,243.58,2,0,0,0
"166",2007-02-01,2H 45M 0S,0.42,0.268,243.42,2,0,0,0
"167",2007-02-01,2H 46M 0S,0.35,0.16,243.19,1.6,0,0,0
"168",2007-02-01,2H 47M 0S,0.35,0.164,243.9,1.6,0,0,0
"169",2007-02-01,2H 48M 0S,0.348,0.162,243.6,1.6,0,0,0
"170",2007-02-01,2H 49M 0S,0.346,0.16,243.04,1.6,0,0,0
"171",2007-02-01,2H 50M 0S,0.346,0.162,243.44,1.6,0,0,0
"172",2007-02-01,2H 51M 0S,0.346,0.162,243.35,1.6,0,0,0
"173",2007-02-01,2H 52M 0S,0.256,0,243.34,1,0,0,0
"174",2007-02-01,2H 53M 0S,0.252,0,243.21,1,0,0,0
"175",2007-02-01,2H 54M 0S,0.252,0,242.96,1,0,0,0
"176",2007-02-01,2H 55M 0S,0.252,0,243.33,1,0,0,0
"177",2007-02-01,2H 56M 0S,0.252,0,243.16,1,0,0,0
"178",2007-02-01,2H 57M 0S,0.25,0,242.77,1,0,0,0
"179",2007-02-01,2H 58M 0S,0.252,0,243.36,1,0,0,0
"180",2007-02-01,2H 59M 0S,0.252,0,243.38,1,0,0,0
"181",2007-02-01,3H 0M 0S,0.252,0,243.5,1,0,0,0
"182",2007-02-01,3H 1M 0S,0.252,0,243.57,1,0,0,0
"183",2007-02-01,3H 2M 0S,0.254,0,244.24,1,0,0,0
"184",2007-02-01,3H 3M 0S,0.254,0,244.22,1,0,0,0
"185",2007-02-01,3H 4M 0S,0.254,0,243.99,1,0,0,0
"186",2007-02-01,3H 5M 0S,0.252,0,243.44,1,0,0,0
"187",2007-02-01,3H 6M 0S,0.252,0,243.4,1,0,0,0
"188",2007-02-01,3H 7M 0S,0.252,0,243.49,1,0,0,0
"189",2007-02-01,3H 8M 0S,0.252,0,243.55,1,0,0,0
"190",2007-02-01,3H 9M 0S,0.252,0,243.19,1,0,0,0
"191",2007-02-01,3H 10M 0S,0.254,0,243.74,1,0,0,0
"192",2007-02-01,3H 11M 0S,0.254,0,244.11,1,0,0,0
"193",2007-02-01,3H 12M 0S,0.25,0,242.84,1,0,0,0
"194",2007-02-01,3H 13M 0S,0.25,0,242.81,1,0,0,0
"195",2007-02-01,3H 14M 0S,0.25,0,242.48,1,0,0,0
"196",2007-02-01,3H 15M 0S,0.25,0,242.5,1,0,0,0
"197",2007-02-01,3H 16M 0S,0.25,0,242.76,1,0,0,0
"198",2007-02-01,3H 17M 0S,0.25,0,242.92,1,0,0,0
"199",2007-02-01,3H 18M 0S,0.368,0.15,242.49,1.6,0,0,0
"200",2007-02-01,3H 19M 0S,0.36,0.158,242.86,1.6,0,0,0
"201",2007-02-01,3H 20M 0S,0.358,0.162,243.33,1.6,0,0,0
"202",2007-02-01,3H 21M 0S,0.358,0.162,243.53,1.6,0,0,0
"203",2007-02-01,3H 22M 0S,0.356,0.162,243.44,1.6,0,0,0
"204",2007-02-01,3H 23M 0S,0.386,0.184,243.53,1.8,0,0,0
"205",2007-02-01,3H 24M 0S,0.406,0.234,243,1.8,0,0,0
"206",2007-02-01,3H 25M 0S,0.404,0.238,243.8,1.8,0,0,0
"207",2007-02-01,3H 26M 0S,0.402,0.236,243.5,1.8,0,0,0
"208",2007-02-01,3H 27M 0S,0.4,0.234,243.13,1.8,0,0,0
"209",2007-02-01,3H 28M 0S,0.4,0.234,243.34,1.8,0,0,0
"210",2007-02-01,3H 29M 0S,0.398,0.236,243.51,1.8,0,0,0
"211",2007-02-01,3H 30M 0S,0.396,0.238,243.86,1.8,0,0,0
"212",2007-02-01,3H 31M 0S,0.392,0.234,243.03,1.8,0,0,0
"213",2007-02-01,3H 32M 0S,0.346,0.166,242.99,1.6,0,0,0
"214",2007-02-01,3H 33M 0S,0.258,0,243.12,1,0,0,0
"215",2007-02-01,3H 34M 0S,0.224,0,242.06,1,0,0,0
"216",2007-02-01,3H 35M 0S,0.224,0,241.77,1,0,0,0
"217",2007-02-01,3H 36M 0S,0.226,0,242.34,1,0,0,0
"218",2007-02-01,3H 37M 0S,0.228,0,243.26,1,0,0,0
"219",2007-02-01,3H 38M 0S,0.228,0,243.71,1,0,0,0
"220",2007-02-01,3H 39M 0S,0.23,0,244.83,1,0,0,0
"221",2007-02-01,3H 40M 0S,0.23,0,244.69,1,0,0,0
"222",2007-02-01,3H 41M 0S,0.23,0,244.55,1,0,0,0
"223",2007-02-01,3H 42M 0S,0.23,0,244.38,1,0,0,0
"224",2007-02-01,3H 43M 0S,0.23,0,244.4,1,0,0,0
"225",2007-02-01,3H 44M 0S,0.228,0,244.16,1,0,0,0
"226",2007-02-01,3H 45M 0S,0.268,0,244.21,1.4,0,0,0
"227",2007-02-01,3H 46M 0S,0.312,0.12,244.13,1.4,0,1,0
"228",2007-02-01,3H 47M 0S,0.312,0.12,244.22,1.4,0,1,0
"229",2007-02-01,3H 48M 0S,0.312,0.118,243.96,1.4,0,2,0
"230",2007-02-01,3H 49M 0S,0.312,0.116,243.48,1.4,0,1,0
"231",2007-02-01,3H 50M 0S,0.312,0.118,243.84,1.4,0,2,0
"232",2007-02-01,3H 51M 0S,0.314,0.12,243.92,1.4,0,1,0
"233",2007-02-01,3H 52M 0S,0.314,0.122,244.5,1.4,0,1,0
"234",2007-02-01,3H 53M 0S,0.314,0.122,244.6,1.4,0,2,0
"235",2007-02-01,3H 54M 0S,0.314,0.122,244.56,1.4,0,1,0
"236",2007-02-01,3H 55M 0S,0.312,0.12,243.91,1.4,0,2,0
"237",2007-02-01,3H 56M 0S,0.31,0.116,243.55,1.4,0,1,0
"238",2007-02-01,3H 57M 0S,0.31,0.116,243.58,1.4,0,1,0
"239",2007-02-01,3H 58M 0S,0.308,0.112,242.74,1.4,0,2,0
"240",2007-02-01,3H 59M 0S,0.412,0.228,242.72,2,0,1,0
"241",2007-02-01,4H 0M 0S,0.416,0.25,242.71,2,0,1,0
"242",2007-02-01,4H 1M 0S,0.41,0.248,242.32,2,0,2,0
"243",2007-02-01,4H 2M 0S,0.408,0.248,242.36,2,0,1,0
"244",2007-02-01,4H 3M 0S,0.406,0.246,242.12,2,0,1,0
"245",2007-02-01,4H 4M 0S,0.404,0.248,242.18,2,0,2,0
"246",2007-02-01,4H 5M 0S,0.402,0.248,242.22,1.8,0,1,0
"247",2007-02-01,4H 6M 0S,0.4,0.246,241.98,1.8,0,1,0
"248",2007-02-01,4H 7M 0S,0.398,0.246,242.09,1.8,0,1,0
"249",2007-02-01,4H 8M 0S,0.396,0.246,241.92,1.8,0,1,0
"250",2007-02-01,4H 9M 0S,0.396,0.25,242.61,1.8,0,2,0
"251",2007-02-01,4H 10M 0S,0.396,0.252,242.99,1.8,0,1,0
"252",2007-02-01,4H 11M 0S,0.432,0.28,243.06,2.2,0,1,0
"253",2007-02-01,4H 12M 0S,0.47,0.358,242.94,2.4,0,1,0
"254",2007-02-01,4H 13M 0S,0.428,0.296,243.07,2.2,0,2,0
"255",2007-02-01,4H 14M 0S,0.348,0.17,242.85,1.6,0,0,0
"256",2007-02-01,4H 15M 0S,0.304,0.094,242.73,1.2,0,0,0
"257",2007-02-01,4H 16M 0S,0.302,0.094,242.65,1.2,0,0,0
"258",2007-02-01,4H 17M 0S,0.302,0.096,243.08,1.2,0,0,0
"259",2007-02-01,4H 18M 0S,0.3,0.1,243.6,1.2,0,0,0
"260",2007-02-01,4H 19M 0S,0.298,0.096,243.05,1.2,0,0,0
"261",2007-02-01,4H 20M 0S,0.292,0.086,243.38,1.2,0,0,0
"262",2007-02-01,4H 21M 0S,0.228,0,243.82,1,0,0,0
"263",2007-02-01,4H 22M 0S,0.228,0,243.73,1,0,0,0
"264",2007-02-01,4H 23M 0S,0.23,0,244.26,1,0,0,0
"265",2007-02-01,4H 24M 0S,0.23,0,244.98,1,0,0,0
"266",2007-02-01,4H 25M 0S,0.23,0,244.95,1,0,0,0
"267",2007-02-01,4H 26M 0S,0.234,0,244.3,1,0,0,0
"268",2007-02-01,4H 27M 0S,0.25,0,243.73,1,0,0,0
"269",2007-02-01,4H 28M 0S,0.25,0,243.23,1,0,0,0
"270",2007-02-01,4H 29M 0S,0.226,0,242.83,1,0,0,0
"271",2007-02-01,4H 30M 0S,0.226,0,242.75,1,0,0,0
"272",2007-02-01,4H 31M 0S,0.226,0,243,1,0,0,0
"273",2007-02-01,4H 32M 0S,0.228,0,243.3,1,0,0,0
"274",2007-02-01,4H 33M 0S,0.228,0,243.4,1,0,0,0
"275",2007-02-01,4H 34M 0S,0.226,0,242.69,1,0,0,0
"276",2007-02-01,4H 35M 0S,0.226,0,242.31,1,0,0,0
"277",2007-02-01,4H 36M 0S,0.224,0,242.16,1,0,0,0
"278",2007-02-01,4H 37M 0S,0.224,0,242.13,1,0,0,0
"279",2007-02-01,4H 38M 0S,0.224,0,242.02,1,0,0,0
"280",2007-02-01,4H 39M 0S,0.226,0,242.49,1,0,0,0
"281",2007-02-01,4H 40M 0S,0.32,0.09,243.16,1.4,0,0,0
"282",2007-02-01,4H 41M 0S,0.338,0.128,243.11,1.4,0,0,0
"283",2007-02-01,4H 42M 0S,0.332,0.122,242.15,1.4,0,0,0
"284",2007-02-01,4H 43M 0S,0.33,0.124,242.26,1.4,0,0,0
"285",2007-02-01,4H 44M 0S,0.328,0.124,242.18,1.4,0,0,0
"286",2007-02-01,4H 45M 0S,0.326,0.122,242.01,1.4,0,0,0
"287",2007-02-01,4H 46M 0S,0.326,0.122,242.01,1.4,0,0,0
"288",2007-02-01,4H 47M 0S,0.324,0.12,241.67,1.4,0,0,0
"289",2007-02-01,4H 48M 0S,0.322,0.12,241.5,1.4,0,0,0
"290",2007-02-01,4H 49M 0S,0.32,0.12,241.37,1.4,0,0,0
"291",2007-02-01,4H 50M 0S,0.32,0.122,241.78,1.4,0,0,0
"292",2007-02-01,4H 51M 0S,0.32,0.124,242.27,1.4,0,0,0
"293",2007-02-01,4H 52M 0S,0.32,0.12,241.88,1.4,0,0,0
"294",2007-02-01,4H 53M 0S,0.318,0.12,241.81,1.4,0,0,0
"295",2007-02-01,4H 54M 0S,0.27,0.052,241.92,1.2,0,0,0
"296",2007-02-01,4H 55M 0S,0.224,0,241.68,1,0,0,0
"297",2007-02-01,4H 56M 0S,0.224,0,241.38,1,0,0,0
"298",2007-02-01,4H 57M 0S,0.222,0,240.58,1,0,0,0
"299",2007-02-01,4H 58M 0S,0.222,0,240.81,1,0,0,0
"300",2007-02-01,4H 59M 0S,0.288,0.048,241.04,1.4,0,0,0
"301",2007-02-01,5H 0M 0S,0.3,0.09,241.54,1.2,0,0,0
"302",2007-02-01,5H 1M 0S,0.3,0.088,241.42,1.2,0,0,0
"303",2007-02-01,5H 2M 0S,0.3,0.088,241.45,1.2,0,0,0
"304",2007-02-01,5H 3M 0S,0.298,0.086,240.86,1.2,0,0,0
"305",2007-02-01,5H 4M 0S,0.294,0.084,239.84,1.2,0,0,0
"306",2007-02-01,5H 5M 0S,0.294,0.082,239.5,1.2,0,0,0
"307",2007-02-01,5H 6M 0S,0.292,0.082,239.82,1.2,0,0,0
"308",2007-02-01,5H 7M 0S,0.292,0.082,239.82,1.2,0,0,0
"309",2007-02-01,5H 8M 0S,0.248,0,240.78,1,0,0,0
"310",2007-02-01,5H 9M 0S,0.222,0,240.92,1,0,0,0
"311",2007-02-01,5H 10M 0S,0.222,0,240.74,1,0,0,0
"312",2007-02-01,5H 11M 0S,0.222,0,241.15,1,0,0,0
"313",2007-02-01,5H 12M 0S,0.224,0,241.37,1,0,0,0
"314",2007-02-01,5H 13M 0S,0.224,0,241.71,1,0,0,0
"315",2007-02-01,5H 14M 0S,0.226,0,242.68,1,0,0,0
"316",2007-02-01,5H 15M 0S,0.226,0,243.11,1,0,0,0
"317",2007-02-01,5H 16M 0S,0.226,0,243.06,1,0,0,0
"318",2007-02-01,5H 17M 0S,0.226,0,243.01,1,0,0,0
"319",2007-02-01,5H 18M 0S,0.226,0,242.77,1,0,0,0
"320",2007-02-01,5H 19M 0S,0.224,0,241.51,1,0,0,0
"321",2007-02-01,5H 20M 0S,0.224,0,241.42,1,0,0,0
"322",2007-02-01,5H 21M 0S,0.3,0.062,240.77,1.4,0,0,0
"323",2007-02-01,5H 22M 0S,0.334,0.116,240.81,1.4,0,0,0
"324",2007-02-01,5H 23M 0S,0.33,0.116,240.95,1.4,0,0,0
"325",2007-02-01,5H 24M 0S,0.328,0.12,241.43,1.4,0,0,0
"326",2007-02-01,5H 25M 0S,0.328,0.12,241.52,1.4,0,0,0
"327",2007-02-01,5H 26M 0S,0.326,0.12,241.49,1.4,0,0,0
"328",2007-02-01,5H 27M 0S,0.324,0.118,240.89,1.4,0,0,0
"329",2007-02-01,5H 28M 0S,0.322,0.118,240.91,1.4,0,0,0
"330",2007-02-01,5H 29M 0S,0.322,0.122,241.85,1.4,0,0,0
"331",2007-02-01,5H 30M 0S,0.32,0.118,241.11,1.4,0,0,0
"332",2007-02-01,5H 31M 0S,0.318,0.118,240.93,1.4,0,0,0
"333",2007-02-01,5H 32M 0S,0.318,0.118,240.88,1.4,0,0,0
"334",2007-02-01,5H 33M 0S,0.316,0.116,240.67,1.4,0,0,0
"335",2007-02-01,5H 34M 0S,0.316,0.114,240.34,1.4,0,0,0
"336",2007-02-01,5H 35M 0S,0.27,0.052,240.2,1.2,0,0,0
"337",2007-02-01,5H 36M 0S,0.222,0,240.62,1,0,0,0
"338",2007-02-01,5H 37M 0S,1.138,0,240.1,5,0,0,13
"339",2007-02-01,5H 38M 0S,1.32,0,239.79,5.4,0,0,19
"340",2007-02-01,5H 39M 0S,1.302,0,239.36,5.4,0,0,18
"341",2007-02-01,5H 40M 0S,1.29,0,239.25,5.4,0,0,17
"342",2007-02-01,5H 41M 0S,1.278,0,238.56,5.2,0,0,18
"343",2007-02-01,5H 42M 0S,1.276,0,238.61,5.2,0,0,18
"344",2007-02-01,5H 43M 0S,1.282,0,239.31,5.2,0,0,17
"345",2007-02-01,5H 44M 0S,1.284,0,239.56,5.2,0,0,18
"346",2007-02-01,5H 45M 0S,1.29,0,240.29,5.2,0,0,18
"347",2007-02-01,5H 46M 0S,1.29,0,240.3,5.2,0,0,17
"348",2007-02-01,5H 47M 0S,1.336,0,239.67,5.6,0,0,18
"349",2007-02-01,5H 48M 0S,1.354,0.072,239.52,5.6,0,0,18
"350",2007-02-01,5H 49M 0S,1.35,0.072,239.02,5.6,0,0,17
"351",2007-02-01,5H 50M 0S,1.34,0.068,238.15,5.6,0,0,18
"352",2007-02-01,5H 51M 0S,1.342,0.068,238.35,5.6,0,0,17
"353",2007-02-01,5H 52M 0S,1.336,0.068,237.97,5.6,0,0,17
"354",2007-02-01,5H 53M 0S,1.34,0.07,238.56,5.6,0,0,18
"355",2007-02-01,5H 54M 0S,1.342,0.07,238.9,5.6,0,0,17
"356",2007-02-01,5H 55M 0S,1.34,0.07,238.84,5.6,0,0,18
"357",2007-02-01,5H 56M 0S,1.302,0,238.71,5.4,0,0,17
